Name,Address,Pin,Phone,Mobile,Email,Website,Contact Person,Purpose,Aim/Objective
"Shri Narayanrao Navagare Education Trust, Mumbai","Mathre Chwal Sundar Nagar, Kandivali
Mumbai","400067
Maharashtra",,91-98922 43779,navagare@yahoo.co.in,,Deepak Navagare,Special education.,"Mission is to provide the quality education to all type of disable persons, with Life skills"
"Shri Pandurang Vikas Sanstha, Mumbai","Shree Society, Anandgadh, Parksite, Vikhroli (W)
Mumbai","400079
Maharashtra",91-22-25180904,,htsaid@rediffmail.com,,HarishChandra said,Upgradation of India social values.,"Networking for the access, sharing and dissemination of information relating to human rights, women empowerment, fighting for labour rights and labour welfare, cultural development, animal husbandary etc"
"Shri Vitthalrao Joshi Charities Trust, Mumbai","Parijat, Gokhale Road North
Mumbai","400028
Maharashtra",91-22-24302517,,vikaswalawalkar@walawalkarhospital.com,http://www.walawalkarhospital.com,Vikas Walawalkar,"Health, education, empowerment.",Modern hospital for rural people in Maharashtra english medium school for remote area students empowerment of women
"SHRI, Mumbai","162, Powai Plaza, Hiranandani Gardens, Powai
Mumbai","400076
Maharashtra",91-22-64460929,91-99690 15524,venkycommunity.2008@rediffmail.com,,V. S. Venkatachalam,Poverty alleviation.,To create models out of villages of Maharashtra through holistic development
"Shyam Rasik Sevavidhi-Global, Mumbai","Apollo Complex, Rk Singh Marg andheri
Mumbai
Maharashtra
400069", , ,93222 66617,udayprabhu@activist.com,www.srsv-gf.co.in,Uday Prabhu,"Child Rights, Consumer Issues, Corporate Social Responsibility, Disability, Education, Environment, Fair Trade, Health, Intellectual Property, Ngo Management, Physically Disabled, Pollution, Traditional Activist (Guni) Mobilisation, Right To Information, Trade And Industry Welfare Sports.",Objects is to assist npos/ ngos & corportaes with core competnecies in selfless services with love
"Silver Inning Foundation, Mumbai","C/22, 303, Sector-8, Shantinagar
Mumbai","401107
Maharashtra",,91-98198 19145,sailesh2000@gmail.com,http://www.silverinnings.com,Sailesh Mishra,Elderly,"Our vision is of an elder friendly world in which ageing becomes a positive, rewarding experience. To uphold and secure the rights of elderly and actively work towards improving their quality of life by networking, advocating and researching elderly issues and providing a wide range of services according to their needs. To work for people above 50 years of age and their family members and to provide for their basic needs viz. Home, food and shelter, medical, financial, psycho-social needs. To sensitize and support community, society, people towards elderly issues. To promote research and development on issues related to elderly and ageing. To provide wide range of innovative, good quality services for elderly based on their changing needs and to utilize their experience, knowledge and skills for the betterment of themselves and society. To provide new services like care management and hospice for elderly and to actively work towards education and training of professionals and para-professionals in gerontology, geriatrics and geriatric care management to promote adult education, vocational / professional training, hobbies and activities and life long learning and to empower the elderly to run their own organisations and help themselves. To fight against ageism and promote equality and human rights for the elderly and bring elderly in mainstream of society"
"Sindhi Sangat, Mumbai","12b/2, Jethibhen Society, Mori Road Mahim
Mumbai","400016
Maharashtra",91-22-24464941,91-98214 73200,info@sindhisangat.com,http://www.sindhisangat.com,Asha Chand,"Promotion of language, literature & culture.","Our sole objective is the promotion of sindhi language, literature and its rich culture across the globe by using electronic media such as internet, television & online courses of language learning"
"Singal Educational Welfare Association – Rasnal, Mumbai","6/61-A, BMC Chawl, Dr. E. Moses Road, Opp. Geeta Cinema
Mumbai","400018
Maharashtra",91-22-64206876,91-98670 41811,singalgroup@yahoo.co.in,,Mohan S Singal,Educational and social development.,"Provide education to poor and needy children without any distinction to caste, color, race, or sex. Giving inspiration & awareness to children and their parents about the importance of education. Educating people against female infanticide and also work for the overall upliftment of women in society. We want all have to access to education, health, sustainable livelihood opportunity especially women and children so that we can help india as a country to grow and help people to prosper. Organizing social service programs like blood donation camps, eye donation camps, distributes books etc"
"Sixty Plus Welfare Association, Mumbai","A-5, Abhinav Milind Society, Shiv Srushti, Kurla
Mumbai
Maharashtra
400024", , ,99875 12970,neha.sonawane@60plus.co.in,www.60plus.co.in,Neha Sonawane,"Awareness Generation, General – Social Welfare, Old Aged Welfare, Social Awareness.","SPWA mission is to create an environment where silvers, irrespective of their cultural beliefs, can retain their dignity, self-respect, pride and self-confidence"
"SKY Foundation, Mumbai","A/4, 26-28, Nirnayasagar Bldg, Above Pudhari, M.B.Velkar Marg, Kalbadevi
Mumbai","400004
Maharashtra",91-22-22053234,91-96199 61217,pranalicarcare@gmail.com,http://www.skyfoundation.org.in,Suryakant Sawant,Social work,"Addoption of school child for study, campagion for test related to all disease"
"Slum Rehabilitation Society, Mumbai","Society Swapna Safalya, 25th Road, Behind Duruelo School, BAndhra
Mumbai","400050
Maharashtra","91-22-26408911, 91-22-26418918",,srs@bom7.vsnl.net.in,,Adolf Tragler,Urban Development,"SRS is an organisation, working for slum redevelopment and social upliftment of Mumbai?s urban poor"
"Smt Kamla Mehta Dadar School for the Blind, Mumbai","160, Dadasaheb Phalke Road, Near Tata Mill, Dadar East
Mumbai","400014
Maharashtra","91-22-24183144, 91-22-24114146",,,,Shyama Chavan,Disability,
"SNEHA – Society for Nutrition, Education & Health Action, Mumbai","416, Urban Health Centre, Shahunagar, Dharavi
Mumbai","400017
Maharashtra","91-22-24042627, 91-22-240860",,bhavana@snehamumbai.org,http://www.snehamumbai.org/,Bhavana Kapadia,To address the special needs of of women and children in urban slums.,"We look for innovative solutions to problems in nutrition, education and health in urban slums. Our services build sustainable and replicable models of intervention and partnerships that empower women to change their lives and to change their lives around them. SNEHA works to empower women and children in poor urban communities. Our initiatives in partnership with the Municipal Corporation of Greater Mumbai (MCGM), corporate donors, and local communities promote health and wellbeing in the slums of Mumbai"
"Sobati, Mumbai","1/1, Senanagar, Kajupada, Kurla West
Mumbai","400072
Maharashtra",,91-98694 62438,vighodke2002@rediffmail.com,,Awghadi Ghodke,Education and employment services.,We working for pre primary and primary education. and with working children to get them rescued
"Social Service League, Mumbai","Pamodar Hall Educational Campus, Mumbai
Mumbai","400012
Maharashtra",91-22-24165636,,,,Prabhakar Sadhale,"Art and culture, Child welfare, Education, Health, Women’s issues","Collection and study of social facts, discussion of social theories and social problems with a view to forming public opinion on questions of social service. The pursuit of social service generally, and specially with a view to ameliorate the physical, moral, mental and economic conditions of the people"
"Society for Human & Enviromental Development, Mumbai","Church street, opp. st. Mary High School Santcruz
Mumbai","400029
Maharashtra",91-22-26665782,,shedkalina@yahoo.com,,Rajendra Tawde,AIDS Intervention programme for tribals,"The prime objective of society to promoting the welfare and improving the living conditions of those living in urban slums and tribal area by providing basic amenities, health and family welfare clinics, arranging medical check ? ups, nutritional programmes for children and expectant mothers, recreational and educational facilities for children and grown ? ups, and training in skills by establishing vocational and technical institutions and training ? cum ? production centres, counselling centre for harassed women, day care centre for grannies. The society also promotes environmental and personal cleanliness and hygiene among slum ? dwellers, villagers and tribals. Our various community based developmental activities both in the slums and tribal areas include health facilities and education for different target groups such as women and children, adolescents, bar girls, married and unmarried men, T.B. patients, people infected with RTI/STI and also for the people living with Hiv-aids (Plha)"
"Society for the Rehabilitation of Crippled Children, Mumbai","Haji Ali Park, K Khadye Marg
Mumbai","400034
Maharashtra","91-22-24920030, 91-22-24981942",,,,Charu Jhaveri,"Child welfare, Disability, Education, Health","To organise hospitals and clinics for diagnoses, care and treatment of children with disability and other medical conditions. The motto is that No child should go without treatment for want of money . Comprehensive case under one roof is essential and thus assessment and treatment, including education and rehabilitation is offered"
"Society for Urban Slum Poor People, Mumbai","Matunga Labur Camp, Near MSEB
Mumbai","400019
Maharashtra",91-22-24031777,,,,"Devanand Dethe, Prashant Unawane",Social activity,To proided medical free facility to urban slum poor family free balwadi in asia slum dharavi freeaey camp every year two time and free distribution optica
"Society Undertaking Poor People’s Onus for Rehabilitation, Mumbai","Old BMC Office 2nd Floor, Nehru Road, Vokala Market, Santacruz (E)
Mumbai","400016
Maharashtra","91-22-26162965, 91-22-22873377",,,,Sujata Ganega,"Child welfare, Health, Rehabilitation","SUPPORT is a voluntary organisation working in the field of HIV/AIDS and drug abuse. It mainly targets street children, homeless youths, and pavement families and educates them on the ill effects of AIDS and drug abuse"
"Sol Youth Association, Mumbai","9 A Meera C.H.S. Ltd., Oshiwara, Jogeshwari(W)
Mumbai","400102
Maharashtra",,91-97696 61516,info@solyouth.in,http://www.solyouth.in,Abdul,Youth,Sports music awareness environment etc
"Somaiya Trust, Mumbai","Mumbai
Mumbai","400001
Maharashtra",,91-98211 24600,premaiyer@somaiya.edu,,Prema,for starting Hindu University,For starting hindu university in abroad.to challenge the fake hindu scholars and give proper knowlege of our culture
"Somta Bal Ashram Trust, Mumbai","K-404 Sundar Nagar, Malad West
Mumbai","400064
Maharashtra",91-22-28724008,,ha21@hotmail.com,,Dr. Hemant Agrawal,"Agriculture, Child welfare, Environment, Forestry, Health","SMBAT’s main objective is to provide life-long permanent home to orphan’s in a family atmosphere and basic facilities like food, house, clothes, water, electricity, medical and education ultimately leading into a life long self sustainable cultured life in a rural atmosphere"
"Sounds of Silence Foundation, Mumbai","1306, Kingston A Wing, Hiranandani, Powai
Mumbai
Maharashtra
400076", , ,99675 77567,soundsofsilence.mum@gmail.com,www.soundsofsilence.in,Sumit Singh Gandhi,"Disability, Disadvantaged Communities, Social Awareness, Volunteers.","Our vision is deafness with dignity and equality and a society where deaf people have equal opportunities to participate in all walks of life. We can envision the future where deafness is no more a disability. We see a world where they are on the same footing as the regular children sounds of silence believes that only one individual or organisation cannot solve the problem. We therefore, aim to drive collective action and create a movement through collective volunteer action, where all our volunteers and interns will thereafter continue to act as mentors for the deaf"
"SRCC Centre for Child Development, Mumbai","Haji Ali Park, Mumbai
Mumbai","400034
Maharashtra","91-22-24920030, 91-22-24981942",,info@srcc.org.in,http://srcc.org.in/,Anita Garware,"Child welfare, disability, education, health.","The motto is that health, hope and happiness. Comprehensive case under one roof is essential and thus assessment and therapy, including education and rehabilitation is offered"
"St Catherine’s Home, Mumbai","Veera Desai Road, Andheri (West)Mumbai",400058Maharashtra,"91-22-26232312, 91-22-26233021",,stcath@bol.net.in,,Sr. Rohini Fernandes,"Child welfare, Women’s issues",The Home is committed to the care and service of the girl-child helping her live with dignity and freedom. It also takes care of unmarried mothers and helps in their rehabilitation
"Stop Child Exploitation, Navi Mumbai","303 Shri Arihant, Sector 16-A, VashiNavi Mumbai",400703Maharashtra,91-22-27663672,,neil_eric96@yahoo.co.in,,Neil Eric Sequeira,Anti-child labour,To reach to every house and pass the message that children are human beings too and small and weak
"Stree Mukti Sanghatana, Mumbai","31, Shramk, Lokmanya Tilak Colony, Rd. No.3, Dadar (E)Mumbai",400014Maharashtra,91-22-24115092,,,,Sharada Sathe,"Health, Women’s issues","SMS works for the upliftment of poor women and children. It initiates developmental projects and imparts education to the youth on sex, AIDS/HIV and drugs through counselling centres and awareness camps"
"Streehitakarini, Mumbai","Lokmanya Nagar Compound, Kakasaheb Gadgil MargMumbai",400025Maharashtra,91-22-24220565,,,,Dr. Vijaya Taskar,"Child welfare, Food and Nutrition, Health, Population, Women’s issues","It assists women to lead healthy life, educates women about family planning, supplies nutritious food to children below 6 years, pregnant and lactating mothers, vocational training program, afternoon clinic for women and children and makes provision for sterilisation and MTP"
"Student Council & Student Help Option,Mumbai","Kandivali
Mumbai","400067
Maharashtra",,,viz786@indiatimes.com,,Alex Nadar,,"Provide mutual help, career guidance & inspiring the youth for working social interest"
"Sunder Seva Sanstha, Mumbai","20, Papa Estate, Ausa, Suren Road, Andheri
Mumbai
Maharashtra
400062", , ,90290 47172,tariq571982@gmail.com, ,Vinod Kumar,"Adolescent Girls Welfare, Advocacy On Social Issues, Cancer Patients Help, Child Labour, Child Rights, Child Welfare, Community Development, Education, Employment, Group Promotion, Human Development, Medical Relief, Old Aged Welfare, Orphanage, Peace, Poverty, Social Awareness, Society And Economy, Sustainable Development, Women’S Issues Nations Organs And Personnel Are Engaged On A Daily Basis In Protecting Human Rights, Keeping The Peace, Striving For Social And Economic Justice, Enabling Women’S Empowerment, Succoring The Victims Of Conflicts And Famine, Building Up Health And Education Facilities, Promoting The Rule Of Law And Higher Standards Of Good Governance, And Many Other Activities That Do Not Make The Headlines But That Are Major Contributions To Creating A Better World For Future Generations.","Vision is our ngo?s vision is to be the primary support and platform for a civil society represented by a global community of informed, empowered and committed ngos that fully participate with the un in decision-making and programs leading to a better world, a world of economic and social justice. Mission: facilitate through various means the development of a dynamic and informed world-wide ngo community able to influence policies and actions at all levels of the nations objectives: improve ngos accessibility and presence at all levels of the nations. Enhance the effective engagement of ngos with the nations strengthen the dialogue between the nations and non-governmental organizations engage ngos to work together on issues of common interest education / capacity development"
"Swami Brahmanand Pratisthan, Navi Mumbai","Nav-Shanti, Sector-8A, Plot 7, C.B.D. Konkan BhavanNavi Mumbai",400614Maharashtra,91-22-27570389,,shirish_poojary@yahoo.com,,Shirish Poojary,"Disability, Education, Training",SBP is engaged in spreading education for all. It’s activities aim at providing education and training of the mentally handicapped and advancements of sports
"Swarg, Mumbai","220, V S MargMumbai",400016Maharashtra,,91-99694 51541,sudaiv@mtnl.net.in,,Aruna Sood,Rural Development.,"To do rural development through income generating program like commercial agriculture, hoticulture, dairy development, floriculture, fishries etc"
"Swayam Education Foundation, Mumbai","Dreams The Society, 1-C, 1101, Bhandup
Mumbai
Maharashtra
400078", , ,81081 54300,swayam.foundation@yahoo.com,www.swayameducationfoundation.org,Purnima Viraj Desai,Employment Working For Education and Health Care.,In education to cover underprivileged area in education specially for women remove illiteracy
"Swayam Shikshan Prayog, Mumbai","101, 1st Floor, 76 Baptista House, Gaothan Lane 1, S.V. Road, Andheri WestMumbai",400058Maharashtra,91-22-26211476,91-98214 13246,sspindia1@gmail.com,http://www.sspindia.org,Prema Gopalan,Empowerment of women and rural development.,
"Takshila Foundation, Mumbai","Mahatma Phule Nagar, Lokhande Marg, Chembur
Mumbai
Maharashtra
400089", , ,99692 17277,md3966604@gmail.com,www.takshilafoundation.com,Manoj Dabhade,"Community Development, Development (General), Economics and Finance, Group Promotion, Information and Communications Technology, Livelihood, Micro-Enterprises, Women Development/Welfare Shg`S Social Chang & Socio-Economic Development.",Shg`s social chang & socio-economic development
"Tarun Foundation, Mumbai","Taga 202, Khindipada, Navjeevan Society, Nr. BMC School, Mulund-Goregaon Link Road, Mulund(W)Mumbai",400082Maharashtra,,91-80974 87231,tarunfoundation@yahoo.com,http://www.tarunfoundation.webs.com,Aditya Mudgul,Environment.,"Education, health, NRM, water, women empowerment, child development, rural development, disability, agriculture, old age care, animal care"
"Tata Institute of Social Sciences, Mumbai","P.O. Box 8313, Sion-Trombay Road DeonarMumbai",400088Maharashtra,"91-22-25563290, 91-22-25562912",,director@tiss.edu,http://www.tiss.edu,R. R. Singh,Education,The Institute offers various courses based on social work and Personal Management and Industrial Relations
"Technology Transfer Association, Mumbai","9&10, General Assurance Building, 232, D.N. Road, FortMumbai",400001Maharashtra,"91-22-22077868, 91-22-22072427",,gharpure@bom3.vsnl.net.in,,Yeshwant Gharpure,"Education, Science and Technology","The organisation aims at spreading the knowledge of science and technology among the scientists, technology experts and consultants, especially in the sector of chemicals and allied products and/or industries"
"Teresa The Ocean Of Humanity Foundation, Mumbai","B-14, Arihant Co Ope. Housing Society, Opp. Damodarwadi Ashok Chakrvarti Road, Ashok Nagar, Kandivali
Mumbai
Maharashtra
400101", , ,90225 57873,info@tohf.foundation,,Prince Kumar Tiwari,"Child Rights, Child Welfare, Education, Food And Nutrition, Health, Human Rights, Livelihood, Poverty, Rural Development, Sanitation, Self Help Groups, Right To Information, Water, Women Development Welfare, Women’S Issues.","To develop contribute to the development of health, education, child and women development, child care, training and skills up-gradation, self helf group activity, entrepreneurial development of local people, communication, irrigation, agriculture, farming, development and developmental needs of the region, such as providing safe drinking water, communication systems for the overall development of the areas"
"The Big Gift Foundation, Mumbai","B Wing 707, Vaibhav, Holy Cross Rd, Extension IC Colony, Borivali WestMumbai",400103Maharashtra,,,rajanshailaja@yahoo.co.in,http://www.biggiftfoundation.org,Shailaja R,To reach out to poor n less fortunate people.,We want to create a network of doctors counsellors hospitals n donors for people who are not having the means n resources
"The Bombay Community Public Trust, Mumbai","Earnest House, 7th Floor, Nariman PointMumbai",400021Maharashtra,"91-22-22845928, 022-22836672",,bcpt@vsnl.com,http://www.bcpt.org,Mahadeo Saraf,"Aged, Child welfare, Consumer issues, Disability, Disadvantaged communities, Education, Environment, Health, Poverty, Sanitation, Sustainable Development, Training","A community public trust set-up to provide funding to voluntary agencies involved with various social, educational, health and environmental problems affecting the citizens of Bombay. Aims to promote people’s participation and widen the circle of philanthropy by motivating people to volunteer and give. Appeals to individuals and prosperous corporate citizens to contribute generously towards the trust and help bring about social change and improvement in the quality of life for the citizens of Bombay"
"The Bombay Society for the Prevention of Cruelty to Animals, Mumbai","Dr. S.S. Rao Road, Next to Mahatma Gandhi Memorial Hospital Parel Mumbai",400012Maharashtra,"91-22-24135434, 91-22-24131007",,bombaysbca@vsnl.net,,Amrut Nageshkar,Forestry,The BSPCA is working relentlessly for animal welfare. It aims at protecting them from the cruelty of the humans and hence reduces their sufferings and pains. It conducts various campaigns for making the people aware of the sufferings of these animals and encourages them to participate in its movement to protect them
"The Bridge Public Charitable Trust, Mumbai","23, Oasis, Nehru Road, VakolaMumbai",400055Maharashtra,91-22-26655678,,thebridgetrust@vsnl.net,http://www.bridgetrust.org,Jayashree S.Parab,Seeking funding,"Our bridge and many more such bridges should enable the transfer of surplus wealth and resources from haves to have-nots for uplifting the underprivileged in our society. To promote a sustainable process towards a dignified quality of life for tribal communities characterized by – access to safe drinking water and hygienic living conditions opportunity for sustainable livelihood through increased agro based activities & vocational training. Access to basic education and primary health care, enhanced self-reliance and self-esteem. Integrated development of tribal and economically backward villages in thane district tp improve quality of life of the community by addressing issues related to water scarcity, sustainable livlihood, primary health care, sanitation & hygiene, education & infrastructure"
"The Central Society for the Education of the Deaf, Mumbai","Municipal School Building, 3rd Floor, Farook Umerbhov PathMumbai",400011Maharashtra,"91-22-23087798, 022-23690043",,jimary@bom7.vsnl.net.in,,Mary J Behlihomji,"Disability, Education","The Central Institute of Teachers of the Deaf is a teacher training college which conducts diploma course in special education (hearing Impaired) recognised by the Rehabilitation Council of India. The main aim of the training college is to prepare skilled and efficient teachers of the Hearing Impaired, to work effectively and with dedication in the special schools, to work as resource teachers in the units attached to regular schools and to provide guidance to parents of hearing impaired children regarding their involvement in their child’s overall development and education"
"The Eternal Hope Charity Mission, Navi Mumbai","Anand Van Co-op Housing Societ, F-48, First Floor, Room No. 2, Sector 4Navi Mumbai",400706Maharashtra,91-22-27615020,,ehcm@bom7.vsnl.net.in,,Premdas Joshua,"Aged, Child welfare, Education, Employment, Food and Nutrition, Poverty, Women’s issues","EHCM is working nation-wide for the cause and welfare of the poor, needy, abandoned infants, street children, aged, and women in distress. This includes procurement of land, construction of home for orphaned infants, children, destitute, shelter for street children, media centre and related structure, post natal care of orphaned infants, nursery school educational classes, nourishment programmes for children, destitute, old aged, literacy classes and counselling sessions for street children"
"The Family Welfare Agency, Mumbai","3rd Floor, Urban Health CenterMumbai",400002Maharashtra,91-22-24015150,,tfwas@yahoo.co.in,,Swati Ingole,Senior citizens.,Mumbai city cares for the elderly
"The Helen Keller Institute for Deaf & Deafblind, Mumbai","The Helen Keller Institute for Deaf and Deafblind, Municipal Secondary School, Ground FloorMumbai",400011Maharashtra,"91-22-23087052, 91-22-22872735",,hkidbind@bom5.vsnl.net.in,,Beroz N Vacha,"Disability, Education",Give to every other Human Being every right that you claim for yourself
"The Hindu Women’s Welfare Society Shraddhanand Mahilashram, Mumbai","Shraddhanand Marg, Mumbai Mumbai",400019Maharashtra,"91-22-24012552, 91-22-24031207",,,,Shakuntala Gheewala,Women’s issues,"The Mahilashram aims to provide shelter for and render assistance to women and girls in distress. It tries to rehabilitate these women and girls through formal and non formal education, vocational training, job placement, marriage, counselling, etc. It also has sponsorship schemes for the students interested in higher studies but cannot afford it"
"The Humsafar Trust, Mumbai","III / IV Floor, Municipal Transit BuidlingMumbai",400055Maharashtra,91-22-26673800,,humsafar@vsnl.com,http://www.humsafar.org,Girish Kumar P.,Networking with MSM and TG CBOS..,"The humsafar trust is working on the issues of sexuality, gender, health and human right for MSM (men having sex with men), gay and TG (transgender) community in India"
"The Indian Council for Mental Health, Mumbai","UPM School, 1st Khetwadi Lane, S.V.P. Road, GirgaumMumbai",400004Maharashtra,"91-22-23855205, 91-22-23861087",,icmh1@rediffmail.com,,Col. J. P. Bajpai,Health,"Vision: Medication Alone is not the sole remedy for emotionally/mentally disturbed people psychotherapy and counselling have a major role to play in their cure Mission: We will give service to all those who are in need of professional attention, in order to improve upon their psychological coping, communicational skills and their quality of life"
"The Mother Teresa Memorial Social Welfare Trust, Mumbai","A/1 Tilakar Chawll Daravi, 90 Feat RoadMumbai",400017Maharashtra,,91-93233 90025,theteresasocialtrust@yahoo.in,,S.V.Chettiar,Help,My trust aim in all
"The Muncherjee Nowrojee Banajee Industrial Home for the Blind, Mumbai","The Muncherjee Nowrojee Banajee Industrial Home fo, 280, Swami Vivekananda RoadMumbai",400102Maharashtra,91-22-26791487,,,,Janak Amin,"Aged, Disability, Education","Gives admission to the adult blind men, coming from all parts of India, irrespective of cast or creed and imparts to them industrial training in various industrial crafts with an objective of developing them to become self reliant in their life. Beside the training, hostel with boarding facilities, welfare amenities and service, etc all are provided free of charge"
"The NAB Workshop for the Blind, Mumbai","Dr. Annie Besant Road, Opp. Passport OfficeMumbai",400025Maharashtra,"91-22-24304347, 91-22-24307995",,,,Ubaid Syed,Training,"The WSB aims at providing training to the visually handicapped in various trades as light engineering, brush making tailoring, file making, motor coil winding, assembly and carpentry. The training is imparted over a period of two years and enables the trainees to lead a dignified life"
"The National Association of Disabled’s Enterprises, Mumbai","Ground Floor, Kannamwar Nagar, Municipal Marathi School No. 1Mumbai",400083Maharashtra,"91-22-25781895, 91-22-25779600",,"info@nade-india.org, nade-india@indiatimes.com",http://www.nade-india.org,"K.N. Radhakrishnan Nair, P.G. Sushant",Rehabilitation of the disabled.,"To introduce ourselves, we are a national level registered charitable organisation which provides training, employment, self-employment and such other welfare services to all categories of disabled persons like blind, deaf, orthopaedically handicapped and mentally handicapped persons. We have a workshop at Vikhroli, Mumbai where we provide training and employment to around 100 disabled persons through various production servicing activities"
"The Padmashali Education Trust, Mumbai","G-16, Jumbo Darshan Society, Jiva Mahale MargMumbai",400069Maharashtra,91-22-26843422,,info@padmashalisamaj.com,http://www.padmashalisamaj.com,Vishwanath B.Shettigar,To raise funds for our school project for the under-privileged children.,"The Padmashali Education Society was established in the year 1975 and registered under The Bombay Public Trusts Act 1950 and also registered under the Societies Act. At present we are only able to support the under-privileged student community by awarding scholarships. We are looking forward to the day when we can SPONSOR every child who needs education or wants to go to school. Primary School: We plan to set-up a primary section English Medium School in the northern suburbs of Mumbai in the near future. The main objective will be to give an opportunity to the children of the financially weaker section to get basic education. Computer Training Institute: Initially we plan to start an Institute with 10 Computers from our existing registered Office located at Andheri East in Mumbai. The courses planned would be computer operations, computer programming, computer hardware, website designing, graphics designing, photo editing, cad, animation etc"
"The Prem Foundation, Mumbai","Kabira Shop.2, Plot.134, CharkopMumbai",400067Maharashtra,91-22-28691170,,,,Satyanarayan Rajhans,"Education, Employment, Environment, Health","PF is a non-governmental organisation working in the field of research, unemployment, education, environmental degradation and problems of the weaker section of the society. Its goals and objectives include establishing, running and maintaining libraries, research centre and vocational guidance cell, initiate a database resource centre and audio visual units, help the rural and urban women, children and handicaps for their socio economic development. It also aims to start STD/AIDS/HIV counselling and awareness building programmes"
"The Research Society for the Care Treatment & Training of Children in Need, Mumbai","Sewri Hill, Opp. Abhyudaynagar, HSG.SOC.Bldg. No.12Mumbai",400033Maharashtra,"91-22-24130285, 91-22-24130265",,res@born3.vsnl.net.in,http://members.rediff.com/society/society.htm,Bharati Palkar,"Disability, Education, Rehabilitation, Training","The organisation is engaged in the rehabilitation of the mentally retarded children. It provides them education, care and treatment. It also organises various training programmes to help them improve their skills. Apart from all this it attempts to restore confidence among the disabled and gives guidence in occupational therapy, speed therapy and physiotherapy"
"The Samaritans, Mumbai","Seva Niketan 1st Floor, Sir J J Road, Byculla BridgeMumbai",400008Maharashtra,91-22-23092068,,smaritns@vsnl.com,,Freny Mahendra,"Disadvantaged communities, Health",The Samaritans is an organisation that works in the field of mental health with adults
"The Tree of Life Trust, Mumbai","RCF Colony, Type III/A/18/214, ChemburMumbai",400074Maharashtra,91-22-25535969,91-93224 07983,ashok@treeoflifeindia.org,http://www.treeoflifeindia.org,Ashok Routray,,Old age care
"Times Foundation, Mumbai",Mumbai Mumbai,400001Maharashtra,,91-98211 24600,alamelu.iyer@timesgroup.com,http://www.cleaningvrindavan.org,Prema,Funds,"Empowerment of women through spirituality, education, vocational training etc"
"To held workshop Indian theatre, Yuvak Pratishthan, Mumbai","9/C, Neelam NagarMumbai",400081Maharashtra,91-22-25644022,,yuvakp@gmailcom,,Dr. Medha Somaiya,"Public health, education.",To help needy for better India
"Total Democracy, Mumbai",Mumbai Mumbai,400101Maharashtra,91-22-61481801,,info@pavanagarwal.com,http://www.totaldemocracy.net,Pavan Agarwal,Community for people by the people.,Democracy in true
"TOUCH, Mumbai","502, Dhruv Appartment, Asha NagarMumbai",400051Maharashtra,91-22-32965924,,touchmission.org@gmail.com,http://touchmission.org,,Turning opportunities for upliftment and child help.,The main aim of TOUCH is to build a network for the social and vocational rehabilitation of destitute children. Various issues affecting the unhindered progress of children and downtrodden sections of society are on the agenda of TOUCH
"Trinity Educational Institute for Deaf, Navi Mumbai","Vashi, Navi MumbaiNavi Mumbai",400701Maharashtra,,91-98928 60625,vinu2rebecca@rediffmail.com,,Vinu. R.Pereira,School and literacy education for the deaf.,To make the deaf persons to be capable in academic education. We aim to lighten the dawn spirits of the deaf through new educational discoveries
"United Social Welfare Association, Mumbai","32 Carolyn, Bapurao Ranade RoadMumbai",400068Maharashtra,91-22-28955330,,andymgrit@gmail.com,,Dr. V N Kadam,Social group for India growth.,
"Urmila, Mumbai","03-Nov, Bhudargad SocietyMumbai",400053Maharashtra,91-22-26325105,,simran73@rediffmail.com,,,Social work,Social work
"Utkranti Foundation, Mumbai","JN2/6/A-5, Mahalakshmi ApartmentMumbai",400703Maharashtra,,91-97733 63099,utkrantifoundation@yahoo.com,http://www.utkrantifoundationforyouth.blogspot.com,Amol Zemse,Social awareness.,"AIDS awareness, youth empowerment, women social upliftment, child development & health care, human rights"
"V Care Foundation, Mumbai","132, Maker Tower ‘A’, Cuffe ParadeMumbai",400005Maharashtra,", 91-22-22184457",,vgupta@powersurfer.net,http://www.vcare.orchidwebs.com,Vandana Gupta,Health,"V Care is dedicated to providing free, total support, where people diagnosed with cancer and their families can receive the hope and encouragement they need to fight for recovery and maintain the quality of their lives"
"VACHA, Mumbai","Municipal School Building, Santacruz(West),Mumbai",400054Maharashtra,91-22-26055523,,shenoy_manali@rediffmail.com,http://www.vachaforwomem.org.in,Manali,To help women and young girls express themselves.,"Vacha’s vision is of a world without exploitation, oppression, discrimination and insustenance against women or any other section of the society. To focus on issues of women and girls through educational programme, resource creation, research, training, campaigns, networking and advocacy"
"Vatsalya Trust, Mumbai","Nr. Kanjurmarg Police Station, KanjurmargMumbai",400042Maharashtra,91-22-25782958,,info@vatsalyatrust.org,http://www.vatsalyatrust.org,Damle,Work with and for children and marginalised,"To rehabilitate homeless / destitute children by placing them in adoptive families. To provide adequate medical and developmental facilities through the childcare center till adoptive families are located. To serve destitute of all ages without any gender discrimination. To provide shelter, nutrition, formal education and vocational guidance to grown up children from socially and economically backward families. To provide temporary shelter and counseling services to women in distress. To provide congenial permanent shelter to aged men and women in the vanaprasthashram. To organize periodical health awareness and community development programs"
